时间,点赞,评论
2021.07.31,13,永远年轻，永远热泪盈眶，永远保持少年感。
2021.07.31,37,那就好好告个别吧，东南再见
2021.07.31,35,真的很荣幸能够组织导演一部片子：这部片子献给各位毕业生，还有抗疫工作者和100年前为中国崛起的青年们，毕业生们继承了他们精神继续砥砺前行（这回疫情我们一定能赢！）[加油][鼓掌][打call]
2021.07.31,11,bgm动了dna。高中毕业典礼最后放的就是这首记念。时间缓缓，已经忘了那个暗恋三年的人。转眼已经是大三了！未来会更好吧！
2021.07.31,11,我能变得更好我应该变得更好最重要的，我想变得更好
2021.07.31,11,BV1sw411o7Dy
2021.07.31,36,时间带走了过往，却带不走回忆“小时候手腕上那块表不曾走动，却带走了最美的年华与时光”——莎士比亚
2021.08.01,10,毕业了，会发现原来宿舍能传出回音[哭泣]
2021.07.31,6,毕业后你当无产者还是资本家呢？
2021.07.31,188,没有人一直年轻，但是总有人年轻
2021.08.25,4,看完了，突然有点感伤，2020届毕业生因为疫情留下太多遗憾，毕业的时候因为疫情同学分批返回武汉带走行李，没有毕业典礼，没有合照，本来学校打算让我们和2021届一起办一下，结果疫情反复，再次取消。以后大概是真的聚不齐了吧，只能说真的是太遗憾了，大学四年最后竟然没有一张学院集体照，前几天偶然回学院，书记换了，辅导员也换了，变得陌生，变得感伤，这个学校再也不属于我们了，希望武大药院2020届的每个朋友都能好好的，加油吧
2021.07.31,243,@同济大学 @南昌大学 @中国传媒大学 @上海交通大学 @中国民航飞行学院TV @哈尔滨工业大学 @华东师范大学 @中国海洋大学 @成都中医药大学 @中国医科大学招生就业 @西安电子科技大学 @北京理工大学 @中央财经大学 @深圳大学 @湖北大学 @电子科技大学 @华北电力大学HDTV @西北农林科技大学 @河南科技大学 @陕西科技大学 @河北科技大学
2021.08.02,3,有的人却已经永远留在了毕业季了。
2021.08.01,94,祝大家毕业快乐，前程似锦。人生有梦，各自精彩！
2021.08.01,152,愿世界因你们而不同，未来因你们而感动[给心心]
2021.08.01,141,"不负青春
不负相遇
来日可期
[爱心][爱心][爱心]"
2021.08.01,3,在学校的最后一个学期 心里有不舍的人  离开了下次不知道要多久才能见面  我会记得你的
2021.07.31,3,我也不知道未来会发生什么 但以后打电话只字不离开钱💰是我不想看见的 再见！武汉！
2021.07.31,3,前程似锦！
2021.07.31,3,那，我们高处见！[干杯]
2021.07.31,65,学校是个神奇的地方在校是总想毕业毕业总回忆从前
2021.07.31,9,报！吴签已经被刑拘。
2021.08.02,63,毕业快乐，前程似锦[给心心]
2021.08.01,8,"对不起对不起对不起和视频内容无关
希望您能重视并转发
开团冲美国德特里克堡生物实验室
链接：→https://b23.tv/KLXZ8s【转发】
如果打扰到大家我非常抱歉，但这真的是国家级别的重要的事 而且被雪藏还没多少人传播  希望大家能重视起 （视频很棒已点赞）"
2021.07.31,61,武汉大学给我们的启示是倒过来读：学大汉，武立国！[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙]
2021.08.26,2,把狗骗进来杀！[大哭][大哭][大哭]
2021.08.05,2,一切顺利！
2021.08.01,8,"对不起对不起对不起和视频内容无关
希望您能重视并转发
开团冲美国德特里克堡生物实验室
链接：→https://b23.tv/KLXZ8s【转发】
如果打扰到大家我非常抱歉，但这真的是国家级别的重要的事 而且被雪藏还没多少人传播  希望大家能重视起 （视频很棒已点赞）"
2021.07.31,61,武汉大学给我们的启示是倒过来读：学大汉，武立国！[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙]
2021.08.26,2,把狗骗进来杀！[大哭][大哭][大哭]
2021.08.05,2,一切顺利！
2021.08.02,14,"我一直说，我没什么舍不得的，那里的一切我都不喜欢， 想赶紧逃离，现在再想，也是一样。
但是真正离开的时候，还是觉得好难过，可能不是舍不得具体的哪个人，而是四年的时光和十八岁那年的自己。"
2021.08.02,2,每次拥抱都用力点，因为有可能是人生中最后一次见面了[大哭]
2021.08.01,14,"一开始，我以为我终于要离开地狱，甚至早早的和几个相熟的同学约好了怎么度过这久违的假期。
直到最后一课，班主任在讲台上做完毕业总结，最后流出的泪水，让我觉得很奇怪，她不是一直都很厌烦我们吗？这不应该是她最高兴的时候吗？她为什么哭了呢？
当我把目光移向其他的同学，发现他们有的眼睛已经通红，有的甚至也留下了泪水，这些人中也包含了一些平时喜欢在背后诋毁老班的人...
突然间，我明白了，原来这次的分别意味着真正的再见，三年间的点点滴滴、同学间的“恩怨情仇”将永远化作回忆，也许，我以后都不会再遇到这样的一群人了。
恍然间，泪水慢慢浸染了我的眼眶...
“再见了，相互嫌弃的老同学
                 再见了，来不及说出的谢谢...”"
2021.08.01,2,工作半个月了，想念室友，想念同学[委屈]
2021.08.01,2,我们若没有在最高处再见，就在心中再见
2021.08.01,40,SWU 冲鸭 毕业快乐[tv_亲亲]
2021.08.01,21,毕业快乐！
2021.08.01,2,离别时惧怕离别，离别后期待重逢，于是我们胸怀里容纳下更多崭新的日夜
2021.08.01,2,武大change健身俱乐部yyds！
2021.07.31,2,别给我看这个，虽然还没毕业，但是一想到三年后也会面临毕业，真受不了这种分别的场景[捂眼][捂眼]
2021.07.31,26,我说到做到，三年后武汉大学等我！[抱拳]
2021.07.31,2,啊，热乎的，赶紧暂停，大家都等着送我上热评呢[脱单doge][脱单doge][脱单doge]
2021.07.31,2,"高中毕业了，再见了。
哭过，笑过，恋过，恨过。"
2021.07.31,2,每年都有年轻人，但是人不能永远年轻[难过]
2021.07.31,13,你我山巅自相逢
2021.07.31,32,[打call]祝毕业生们毕业快乐~前程似锦~未来的道路一帆风顺，书写出自己的人生华美乐章🎶
2021.07.31,14,聚一团火 散是满天星🌟
2021.07.31,19,哭了，毕业季感慨真的特别多[tv_难过]
2021.07.31,34,我也高三了，时间过得真快
2021.07.31,2,竟然看到了南工大，今年毕业，泪目
2021.07.31,36,"时间带走了过往，却带不走回忆
“小时候手腕上那块表不曾走动，却带走了最美的年华与时光”——莎士比亚"
2021.07.31,2,"花去三年时间逃离的地狱，回头再看时却发现已然成为了天堂。
三年的回忆，却被压缩成了毕业照；三年的汗水，却被改变成了毕业证；三年的青春，却被装订成了毕业册。三年玩乐，三年陪伴，却因一张试卷而散得各奔东西；三年回忆，三年过往，却因一句再见而哭得稀里哗啦。初见时腼腆地红了脸，可是在离别时却悲伤地红了眼。
早自习时的共同抄作业，晚自习时的争抢出校门，夜晚的疯玩，白昼的瞌睡，已然成为了我青春的一部分。在那个记忆最深处的炎热夏天，刻下了，属于我们的故事。
明年的教室里面依旧坐满了学生，明年的班册上面依旧写满了名字，可却不再是我们。原来老师这次真的没骗我们，三年，真的很短。"
2021.07.31,2,第一，共青团贴贴～～[给心心][给心心][给心心][羞羞][羞羞][羞羞]
2021.07.31,28,我是未来国家应用型人才[脱单doge]
2021.07.31,2,我是第一
2022.06.05,2,年年岁岁花相似，岁岁年年人不同
2022.05.31,2,"即将毕业的朋友们，租房子不要租二房东的，合租一定要注意安全，合不来及时更换室友。花呗借呗京东白条之类的能不用就一定不用，要学会生活记账，该花的一定花，能省的莫铺张。手机上能轻松赚钱的app都是假的不要相信中介说的话，谨记一条天上不会掉馅饼。遇到拖欠工资的公司立马走。虽然毕业了但一定要不断学习充实自己。最后，一定要坚持锻炼身体！
                                                                   复制的"
2021.08.01,14,"一开始，我以为我终于要离开地狱，甚至早早的和几个相熟的同学约好了怎么度过这久违的假期。
直到最后一课，班主任在讲台上做完毕业总结，最后流出的泪水，让我觉得很奇怪，她不是一直都很厌烦我们吗？这不应该是她最高兴的时候吗？她为什么哭了呢？
当我把目光移向其他的同学，发现他们有的眼睛已经通红，有的甚至也留下了泪水，这些人中也包含了一些平时喜欢在背后诋毁老班的人...
突然间，我明白了，原来这次的分别意味着真正的再见，三年间的点点滴滴、同学间的“恩怨情仇”将永远化作回忆，也许，我以后都不会再遇到这样的一群人了。
恍然间，泪水慢慢浸染了我的眼眶...
“再见了，相互嫌弃的老同学
                 再见了，来不及说出的谢谢...”"
2022.01.16,1,毕业那天真的好难忘，没有想象中的抱头痛哭，也没有想象中的那么不舍，就好像平时刚放学一样，说着笑着就离开校门口了，唯一不同的，就是我们班主任当时哭了，那是我第一次见他哭，大概也是最后一次，她冲我们摆了摆手说没事，那一刻，眼泪刚出来，到校门口了，还不来得及哭，眼泪就收回去了。当大家都回去时，我才真真切切的感觉到我们真的毕业了，这个班真的回不去了，大家未来都会各自走散交集，越来越少，最终成为陌生人……虽然已过去一个学期，但还是很怀念，曾经普普通通的一天却是今天无比奢望的一天，我还想再上一次班主任的课，还想再和同学们一起听课，一起玩耍，可是都回不去了，希望大家都珍惜好与同学相伴的时光
2021.09.12,1,南工大，2022我来了[胜利]
2021.08.25,1,毕业告别？没有，人是直接走的，照片连影子但没有留下
2021.08.24,1,兄弟高中暗恋的玩不了的，我就是这样感觉的，高三学的烦就去走廊看，一天上八次厕所。回不去了
2021.08.16,1,我们都会有美好的未来
2021.08.06,1,表白封面表白我武
2021.08.04,1,如果能去武大读研，这辈子就没有遗憾了。
2021.08.02,1,嗯？这不是东华公众号吗，咋这么多其他学校的[doge][doge]
2021.08.02,13,毕业快乐是最大的谎言之一[无语]
2021.08.02,1,背景音乐太有感觉了，今年已经被学校录取了，大学生活我来了！！！！
2021.08.02,14,"我一直说，我没什么舍不得的，那里的一切我都不喜欢， 想赶紧逃离，现在再想，也是一样。
但是真正离开的时候，还是觉得好难过，可能不是舍不得具体的哪个人，而是四年的时光和十八岁那年的自己。"
2021.08.01,1,高中毕业了，空军军医大学我来了！！
2021.08.01,13,东华冲冲冲！
2021.08.01,1,愿有缘再相会
2021.08.01,1,毕业快乐！
2021.08.01,1,终于有学校带南理工玩啦[大哭][大哭][大哭]
2021.08.01,1,原来我已经毕业一个半月了呀，现在真得感受到舍友天南地北，有些人真得是再也不见了，后面。现在群里面也不活跃了，热度会慢慢下降下来吧！但是还是祝互相陪伴四年的舍友们各自安好
2021.08.01,1,开头看到了吟游大司人
2021.08.01,1,前程似锦！
2021.08.01,1,终于带南师玩了[OK]
2021.08.01,1,作为参与了大四毕业的一个弟弟，不能说有很多深刻感悟和深入参与，但我一定会好好珍惜的
2021.08.01,1,在校外租房子，宿舍钥匙丢了，兄弟们离校时和大家只在qq群里道了别。在租的房子里多留了几天，回了趟宿舍，发现再也敲不开我们宿舍和隔壁兄弟宿舍了。
2021.08.01,1,懒得打字了，就[拥抱]
2021.08.01,1,说了再见才发现再也见不到
2021.08.01,1,我的大学四年，过的很平凡。没有什么大型奖项，没有站到过校级奖台的，没有轰轰烈烈的爱情，平平凡凡的过了四年，随波追流的考研最后也是失败了，然后匆忙的踏入社会。我仍然想念我的大学生活，但是我知道我永远回不去了。再见！再见！
2021.08.01,1,毕业即失业
2021.08.01,1,点个赞就走，这歌我听不了
2021.08.01,1,学长学姐们，毕业快乐
2021.08.01,1,马上大学了，期待
2021.08.01,1,在这个一起抛起学士帽的时节，我们终将奔向各自的美好未来。朋友们，未来可期！
2021.07.31,1,有幸上电视了hhh912操场我的老家！
2021.07.31,1,在路途的尽头才意识到自己已走过了最美的风景。[拥抱]
2021.07.31,1,永远保持少年感，加油
2021.07.31,1,不在意终将逝去的美好，时间会让瞬间变为永恒[爱心]
2021.07.31,1,在毕业后一定会让过去的回忆成为走向未来的利剑
2021.07.31,1,这，就是我的青春啊
2021.07.31,1,雷雨心学姐！[星星眼]
2021.07.31,1,回首已然，，无话可说
2021.07.31,1,我只想要拉住流年好好的说声再见，遗憾感谢都回不去昨天，我只想铭记这瞬间，我们一起走过的光年。（神奇的是高中三年的班主任微信名称一直是流年，每每唱起这首歌，都会忍不住想念）[大哭]
2021.07.31,1,一路上见过很多人，经历过很多事，有过很多离别，原本初入社会，幼稚的心灵开始慢慢成长，这是成熟的证明，却不是与你们在一起经历风雨的证明。
2021.07.31,1,人生有梦 各自精彩
2021.07.31,1,加油啊诸君！当你不如意时，不要放弃，相信自己，平凡的日子也能开出灿烂的花；当你春风得意时，不要骄傲，转身看看，还有千千万万的普通人，你也是其中的一员，别忘了为他们做点什么！
2021.07.31,1,说实话，不想毕业啊，毕业后发现有好多想说的都没来得及[大哭][大哭][大哭]
2021.07.31,1,"一晃两三年
匆匆又夏天[爱心]"
2021.07.31,1,"愿成长 不负众望
走啦"
2021.07.31,1,"青春难免有遗憾，
此去又何惧放胆。"
2021.07.31,1,同学们，大家起来，担负起天下的兴亡！
2021.07.31,1,看封面还以为是我武发的视频哈哈哈
2021.07.31,1,看封面还以为是我武发的视频哈哈哈
2021.07.31,1,夏天的故事，就让他在夏天结束吧。
2021.07.31,1,时间过得真快，一不留神我开学都初二了[奸笑]
2021.07.31,1,有没有武警警官学院的[藏狐]
2021.07.31,1,六分钟前[呲牙]
2021.07.31,1,青春奋斗，不留遗憾！
2021.07.31,1,加油，生活还在继续！
2021.07.31,1,毕业快乐
2021.07.31,1,过去已去 未来已来
2021.07.31,1,毕业季感慨真的特别多[tv_难过]
2021.07.31,1,加油 未来可期
2021.07.31,1,说了再见，就一定会再见[拥抱]
2021.07.31,1,但行好事 莫问前程
2021.07.31,1,其实有时候不想毕业，毕业了和自己那些熟悉的同学朋友分开了！再也碰不到了
2021.07.31,1,评论1[tv_疑问]
2021.07.31,1,青春有何不可，梦想如约而至
2021.07.31,1,那么，我们未来再见！[大哭][大哭][大哭]
2021.07.31,1,我们未来再见 不说拜拜
2021.07.31,1,那，我们高处再见！[干杯]
2021.07.31,1,"""我只想好好抓住这瞬间"""
2021.07.31,1,青春不散场 [罗小黑_来了]
2021.07.31,1,"懵懂
留念"
2021.07.31,1,今年本科毕业啦 毕业才一个月就很怀念校园[大哭][大哭][大哭][大哭] 啊 我考上研究生了啊 9月继续开学[狗子]
2021.07.31,1,"前辈们毕业了
但是
我还想说
大学，你好"
2021.07.31,1,没事还会有机会遇到的[大哭]
2021.07.31,1,前程似锦，未来可期
2021.07.31,1,太容易哭了[大哭]
2021.07.31,1,祝愿各位前程似锦，未来可期；为了祖国的繁荣富强发光发亮！
2021.07.31,1,学大汉，国立武[doge]
2021.07.31,1,人生的列车又启航，下一站，又是哪里。
2021.07.31,1,为什么女排穿着阿迪达斯啊，是阿迪达斯道歉了还是我们的脸被打了
2021.07.31,1,今年毕业，一个人在酒店床上哭成sb[难过]真的好害怕以后会见不着
2021.07.31,1,再见了，很多不知何时才能再见的同学
2021.07.31,1,嘿，万事胜意
2021.07.31,1,学长学姐们毕业了，马上我就踏入大学的门了[狗子]
2021.07.31,1,武大排面！
2021.07.31,1,明年高考，希望能去目标大学！加油！[奋斗]
2021.07.31,1,怎么没人啊
2021.07.31,1,[藏狐]
2021.07.31,1,再见~[OK]
2021.07.31,1,毕业快乐
2021.07.31,1,诸位兄弟们希望毕业后，可以牵到异性的手[笑哭][笑哭][笑哭] 完成大学没有完成的奢望[嗑瓜子][嗑瓜子][嗑瓜子]
2021.07.31,1,没入茫茫人海，这段时光将永远陪伴着我[给心心]
2021.07.31,1,最怀念的是运动会，因为跑完可以毫不犹豫的和同学拥抱[大哭]
2021.07.31,1,来得太早了，居然想不到什么sao话[doge]那就祝大家毕业快乐吧
2021.07.31,1,"看见我的母校[给心心][给心心][给心心]
大家都要加油呀"
2021.07.31,1,第一
2021.07.31,1,开学见[脱单doge]
2021.07.31,1,"毕业
有过那些
我们会一起度过一整夜
我们会坚定一些
那些"
2021.07.31,1,我们身边都是不朽的人——C.S刘易斯
2021.07.31,1,已经毕业1年多了；学生时光真的快乐；入海也要加油啊
2021.07.31,1,明年的中考，加油！
2021.07.31,1,沙发！
2021.07.31,1,那么，我们未来再见！
2021.07.31,1,加油 未来可期！
2021.07.31,1,我先来一句，算了我不说了[doge]
2021.07.31,1,第一
2021.07.31,1,"说个事：
针对网络举报的“吴某凡多次诱骗年轻女性发生性关系”等有关情况，经警方调查，吴某凡（男，30岁，加拿大籍）因涉嫌强奸罪，目前已被朝阳公安分局依法刑事拘留，案件侦办工作正在进一步开展。"
2021.07.31,1,时间一转眼就过去了三年(接下去，兄弟们)
2021.07.31,1,我们，聚是一团火，散是满天星。
2021.07.31,1,致我们终将逝去的青春
2021.07.31,1,"至我们逝去的青春[热词系列_泪目]，那可是我美好的童年啊
等会我好像还在读高一，草忘了这事了[脱单doge]"
2021.07.31,1,时光不老，我们不散[2021]
2021.07.31,1,长亭外
2021.07.31,1,刚刚签儿被判了！
2021.07.31,1,第一
2021.07.31,1,泪目了。刚刚毕业[tv_大哭][tv_大哭][tv_大哭]
2021.07.31,1,第一
2021.07.31,1,第一
2021.07.31,1,团团你在这个点发这个是不是有点[脱单doge]
2021.07.31,1,热乎的
2021.07.31,1,沙发
2021.07.31,1,第一！！！
2021.07.31,1,第一！
2021.07.31,1,第一！
2021.07.31,1,第一 我去
2021.07.31,1,毕业快乐，学长们！
2021.07.31,1,未来再见！
2021.07.31,1,向着新生活，出发！[打call]
2021.07.31,1,一
2022.06.06,1,目前为止对做过的所有决定都不曾后悔，唯一遗憾的是在这短暂的生命里缺少了大学生活来丰富我的人生！愿天下学子都能取得硕果。加油！
2022.05.18,1,我今年六年级，快毕业了，不知道以后同学们能不能相见[大哭][大哭]
2022.05.06,1,去年这个时候的一切还好，让我以为今年属于我们的毕业季一定会更好，一切都会渐渐走向正轨，我们会用力地好好的跟彼此道别，跟身边熟悉的一切挥手说再见，但，故事中的遗憾终究还是落在了今年夏天，毕业季的我们，没有任何仪式感，什么都没有，所有的计划锁在记忆里再也走不出来了，在不经意间跟某些人的见面成了毕业留给我们唯一的画面。至此，我的研究生生活就此完结。2022.5.6
2022.04.16,1,其实最不希望夏天了，一是好热好热，二是我们可能再也不会见面了
2021.07.31,2,有啥好怀念的，毕了业谁还记得谁[吐]
2021.07.31,2,[热词系列_知识增加]
2022.05.26,1,我铭记初中这最后的时光，我从不憧憬未来，我只愿回到过去。
2021.07.31,3,吴亦凡：我一生开了这么多次房，没想到最后一次开的是牢房。 
2021.07.31,1,1
2022.01.04,0,毕业宿舍最后一个走的，很难受[大哭]
2021.12.23,0,🐷✨闪闪發光 未來旺旺
2021.11.13,0,大制作
2021.10.16,0,受不了这种毕业的视频哎，今年就轮到我了
2021.09.16,0,SWU，还有几个月就要见面了。
2021.08.28,0,青春兵荒马乱，未来星河璀璨。愿有前程可奔赴，亦有岁月共回首
2021.08.28,0,请保持那一份热爱，奔赴下一场山海，希望下一次见面，可以鲜活又明亮
2021.08.27,0,都是我考不上的大学[藏狐]
2021.08.27,0,大学生生活不要虚度，不然毕业了会后悔莫及。
2021.08.25,0,好多我武的景啊！！！今年毕业却因故没办法回去参加毕业，还是很遗憾的
2021.08.24,0,好想回到大学
2021.08.24,0,操场上也会有别人走过你我的印记，世界这么大就从这里出发。
2021.08.22,0,为啥我一个大三的看的想哭
2021.08.20,0,啥歌啊
2021.08.17,0,一眨眼就大四了，看完后思绪万千，但不知如何用文字表达自己此时心情，就在这祝我的兄弟们前程似锦吧。
2021.08.17,0,我来了
2021.08.16,0,普通高校不配过[笑哭]
2021.08.15,0,瞬间感觉时间好快啊[委屈]
2021.08.15,0,泪目
2021.08.14,0,前程似锦
2021.08.13,0,大学四年就好结束了[藏狐]
2021.08.12,0,16级20届的我们没有毕业季[大哭]
2021.08.11,0,这玩意儿什么时候可以加一个东华小学（凝视[doge]
2021.08.09,0,我毕业了 我再来一年
2021.08.09,0,也毕业了，没有一张像样的毕业照，也没有和喜欢的人合照，也没有和宿舍一起的最后嗨一把，繁琐的事情把我们的距离慢慢的拉远，到最后只有自己一个人，很想知道好的学校和本科与专科的人是否不太一样（不是指学习方面）自己努力知道自己想要什么，要干什么为了以后的工作去做努力，最后换来的是恋人没长时间享受恋爱，同学变的生疏，自己变的厌倦自己得到的东西，心想这和我想的并不一样没有休息，没有和他们说的快乐的大学时光，我本人比较重感情比较敏感，
2021.08.05,0,嘤嘤嘤
2021.08.04,0,青春无悔，前程似锦[OK]
2021.08.04,0,一扇门关上，一定会有另一扇门打开。
2021.08.03,0,雷雨心yyds  中国好歌曲yyds
2021.08.02,0,啊啊啊啊今年想考南理工的研究生，有没有学长学姐能帮帮忙啊
2021.08.02,0,西南大学yyds
2021.08.01,0,这首歌真得让人有所回忆，幸好那些日子没有虚度[再见]
2021.08.01,0,毕业了🎓离开了一个熟悉的地方，也进入了一个陌生的地方
2021.08.01,0,毕业快乐
2021.08.01,0,今天刚学会的一句话 不痛不痒无法成长
2021.08.01,0,明德 厚学 沉毅 笃行[打call][打call]
2021.08.01,0,呜呜呜中南再见
2021.08.01,0,我们都会成为自己想成为的人，加油鸭，考研顺利，南师大[给心心]
2021.08.01,0,毕业以后主动加你的男（女）同学，都是当年对你有点意思。要抓紧争取[拥抱] 别问我怎么知道的........[跪了]
2021.08.01,0,人生不会有那么多的再见，所以，好好珍惜当下的相逢吧
2021.08.01,0,20年毕业，毕业典礼都没有，太遗憾了
2021.08.01,0,错过大学，感觉自己错过好多[大哭]，我后悔了，我要自考去，我要考研[大哭]
2021.08.01,0,新的开始
2021.08.01,0,毕了业的人就看不得这个[大哭][大哭][大哭]
2021.08.01,0,啥时候能开学啊[大哭][大哭][大哭]
2021.08.01,0,感谢信太[tv_笑哭]
2021.08.01,0,来给我南理工打call[打call][打call][打call]
2021.08.01,0,毕业后继续读研的表示一点感觉都没
2021.08.01,0,我家大学可算是上镜了[doge]
2021.08.01,0,https://b23.tv/4y5Ptu
2021.08.01,0,希望最后我们都能从喜欢的学校毕业[热词系列_好耶]
2021.08.01,0,我已经到开学季了。。
2021.08.01,0,害，明天去拿毕业证[热词系列_害]
2021.08.01,0,去年今日，早出晚归
2021.08.01,0,15年了
2021.08.01,0,江湖再见了  朋友们
2021.08.01,0,这旋律一响，无数画面在眼前一幕幕翻过，那么难忘那么开心，那么不舍，那么的再也见不到[酸了]
2021.08.01,0,准高三，我现在已经准备复读了，不知道我走出高中生涯时会不会有那么多感慨
2021.08.01,0,小电，我的神[脱单doge]
2021.08.01,0,南京工业大学 南京师范大学
2021.08.01,0,和好朋友上了一个大学，谢谢一路有他陪伴✿ヽ(°▽°)ノ✿
2021.08.01,0,虽然但是，开头那哥背的包跟我的一模一样，啊这
2021.08.01,0,准高三了，也快毕业了[拥抱]
2021.08.01,0,@黄冈师范学院 快来快来
2021.08.01,0,好好说再见的人终究会再见面！
2021.08.01,0,挥手再见[给心心]
2021.08.01,0,不敢看 很难蹦的住
2021.08.01,0,祝大家以后都能好好生活，好好生活，好好生活[哭泣]
2021.08.01,0,https://b23.tv/BV1tC4y1H7yz
2021.08.01,0,张磊这手预毕业玩得妙啊
2021.08.01,0,下次再遇到喜欢的人，一定要提醒自己，只做朋友，只谈笑风生，不可以动情。不远不近的欣赏，淡淡的喜欢，不至于最后乱了初心，败了芳华。
2021.08.01,0,吉大呢
2021.08.01,0,南师的大一新生，有点期待这新的开始
2021.08.01,0,刚上班一个月，正在从学生身份转变中，分外的难熬。
2021.08.01,0,屯子神技大学，新生一枚，我来了。同时感谢国家为我们这些教育贫困县地区的孩子提供了国家专项、高校专项等福利政策。我定将好好学习科学文化知识，立志成才，将来报效祖国！[打call][打call][打call]
2021.08.01,0,BV1CU4y1n7VK
2021.08.01,0,西大学子集合[大哭][大哭][大哭]
2021.08.01,0,好像真的要再见了
2021.08.01,0,永远年轻，永远热泪盈眶，永远进步！
2021.08.01,0,世界很大，我们一起走[给心心]
2021.08.01,0,未来再见
2021.08.01,0,毕业了，但没有完全毕业
2021.08.01,0,愿阅尽繁华，回来仍是少年[大哭][大哭]
2021.08.01,0,永是珞珈一少年[爱心]
2021.08.01,0,唉，去年顶着疫情回武大办理毕业，没有毕业典礼，今天本来要补办也因为天气而取消。人生中一个遗憾！
2021.08.01,0,诶，别忘记别去宁工就好
2021.08.01,0,从专科到本科到硕士研究生，大学毕业了三次了。不舍的情绪随着年岁变得越来越淡。慢慢地也体会到了被时间推着走是什么感觉。以前希望所有人都记得我的生日，为我祝福。现在竟然开始想逃避。人生这场游戏，几年换一次游戏规则。还在沉溺于上一局的快乐时。却不知早已切换了游戏难度与规则。
2021.08.01,0,希望毕业生们，如果遇到自己不喜欢的公司或者岗位，及时调整，避免沉没成本越滚越大。年轻就应该多点尝试。
2021.08.01,0,真快啊，明年就轮到我了[嘉然_安详]
2021.08.01,0,好家伙开场就是母校
2021.08.01,0,武大牛逼
2021.08.01,0,要步入高中拉，得专心去学拉！
2021.08.01,0,还是会没有好好告别，没有好好说再见[大哭][大哭]
2021.08.01,0,不要忘记自己为了什么出发
2021.08.01,0,我们各自跃入人海，终点见[哭泣]
2021.08.01,0,[打call]
2021.08.01,0,今天收到了研究生的录取通知书，恍惚真的有了毕业的实感，可能是因为还要读书所以觉得对毕业没有特别明显的感触…反射弧太长
2021.08.01,0,请你记得我，努力朝着未来继续前进吧
2021.08.01,0,Bgm 在高中听到，瞬间就被吸引，但一直不知到歌曲名字，成为执念了。已经忘记了什么时候知道这首歌的名字，但是每次听都会沉浸在里面
2021.08.01,0,人不能永远年轻，但总有年轻人。
2021.08.01,0,书上说，天下没有不散的宴席，书上也说，人生何处不相逢
2021.08.01,0,有些人错过了，就再也见不到，所以，珍惜现在吧
2021.08.01,0,都8月了，这时候发毕业季视频是不是迟了[doge]
2021.08.01,0,好快啊，还有四年就要毕业了[大哭][doge]
2021.07.31,0,所谓青春，就是不留遗憾吧。可我却满是遗憾。。。
2021.07.31,0,真正的别离都是悄无声息的，日后也不会再有联系
2021.07.31,0,想必去年毕业然后继续读研的人都没有毕业的感觉吧[滑稽]
2021.07.31,0,怀念学生时代[大哭]
2021.07.31,0,依然记得毕业时互相说那句巅峰相见，3年了不知各位还好吗
2021.07.31,0,不能相见的日子里，一定要好好保重，照顾好自己
